DateTime,Biomass,Demand,Fossil,Nuclear,Solar,Wind
2021-04-15,110.5682225,1268.005245,759.174855,163.4294825,182.3371025,196.463435
2021-04-16,111.558865,1247.1831725,721.5625325,187.93817,158.826795,216.0987
2021-04-17,111.82196,1049.79844375,608.0168175,187.76316500000001,141.7683975,161.6765175
2021-04-18,110.5288675,968.8221187500001,636.2665075,188.588335,114.7953125,77.083505
2021-04-19,109.3992775,1218.81907625,757.16778,190.9301125,145.783825,77.4715775
2021-04-20,108.95037500000001,1226.06715125,754.4490925,187.58929,219.1266425,58.7378125
2021-04-21,107.6313525,1223.11552875,562.189735,185.812275,229.74803,338.360905
2021-04-22,108.687225,1222.759305,441.9732675,183.15398,228.6048,491.1179475
2021-04-23,111.24641,1176.235269375,471.0421975,185.284245,266.9893625,277.4806625
2021-04-24,111.1212575,996.8855875,338.87121,185.4255,260.34126,220.1558575
2021-04-25,111.390855,930.64057375,309.55103,187.248175,256.84841,196.022455
2021-04-26,111.6856425,1175.19663875,553.697725,186.174425,280.6005875,135.20102
2021-04-27,110.6311175,1193.323575625,559.1198049999999,187.296885,296.5191875,271.1486575
2021-04-28,110.5971375,1189.206366875,580.0341975,184.54736,263.0270825,232.98903
2021-04-29,110.1790575,1213.237255,585.821455,182.05498,134.486,387.49906250000004
2021-04-30,111.05584,1173.905455625,673.32848,179.605625,135.7829775,95.67086
2021-05-01,110.63677249999999,929.95953875,403.1060975,160.9818275,141.4614625,81.40377
2021-05-02,109.671525,947.0635025,343.3331275,157.5750975,127.0587125,331.6832525
2021-05-03,109.6009675,1195.981803125,431.05137,155.2840075,211.599445,362.387805
2021-05-04,106.97042,1266.757199375,258.8462,151.3767725,136.43054,937.307935
2021-05-05,104.8773875,1256.85441375,313.08975,151.1871275,176.87081,781.431305
2021-05-06,111.9003925,1241.72122375,550.0761200000001,153.663955,146.070715,317.6410975
2021-05-07,114.0509825,1194.050179375,496.4783825,157.3757775,180.01707,365.467825
2021-05-08,114.3203775,1009.98514125,270.570115,158.3470525,245.62269500000002,318.060555
2021-05-09,110.75832249999999,938.917920625,184.44115,145.5952725,279.4342575,473.19558
2021-05-10,110.3345425,1167.387965625,382.465635,154.705895,209.8307425,351.9779425
2021-05-11,111.97179,1185.436138125,543.3858025,158.4879775,138.8411625,155.6066475
2021-05-12,113.0908025,1173.558666875,517.01433,159.8655625,101.5047775,153.33123
2021-05-13,113.7627125,939.039369375,295.584255,158.5512075,131.6875375,122.6167125
2021-05-14,114.0683825,1030.069676875,330.07683000000003,159.89412,180.572115,138.588775
2021-05-15,112.3464925,969.41345375,279.0105525,159.7386825,181.688155,176.289475
2021-05-16,109.767135,927.133528125,266.5311675,157.15205,198.06209,186.7446125
2021-05-17,109.25768500000001,1166.6811025,388.1401925,172.28009500000002,188.6729425,209.112365
2021-05-18,109.26337,1189.989404375,446.00587,191.629125,180.323035,160.3877575
2021-05-19,109.1022675,1181.42735125,469.600825,190.5049725,206.7448625,116.7398125
2021-05-20,111.72188249999999,1178.62648125,421.068645,188.9426225,214.255975,188.33801499999998
2021-05-21,113.762585,1196.228689375,213.0068025,180.5021525,173.9894625,658.24657
2021-05-22,113.03358250000001,1027.61943,167.9847425,177.3311175,197.6998375,703.4111225
2021-05-23,113.53103,899.546033125,191.3694025,180.948095,205.1588925,397.711625
2021-05-24,113.43491,924.520380625,219.1863725,184.6836275,200.38733249999999,424.3672725
2021-05-25,112.76195249999999,1175.101546875,340.624565,191.16639,180.9922125,505.26392
2021-05-26,113.3843325,1217.652684375,401.0257875,181.9392775,143.7813075,539.01281
2021-05-27,113.81711,1200.916404375,510.790895,188.61040500000001,145.12826,417.39189
2021-05-28,114.54173,1140.30189625,541.0128475,189.57196249999998,214.8070525,140.03944
2021-05-29,112.5426925,967.48641625,349.30370500000004,190.040875,242.6443425,133.991045
2021-05-30,108.3718275,901.41323125,270.6766925,182.2804375,301.7611525,121.1197825
2021-05-31,107.60846749999999,1117.677265625,435.5643875,189.3359025,314.4301525,93.03089
2021-06-01,106.7835025,1142.029559375,430.09066,188.92009000000002,300.2080025,132.12658
2021-06-02,106.3508025,1158.611095625,382.8867425,184.7624825,295.3454825,278.8399825
2021-06-03,104.9224025,1005.813544375,389.375375,180.9595375,250.5153175,241.9019025
2021-06-04,98.87628,1065.39551875,462.24791749999997,184.52191,214.0619275,84.104845
2021-06-05,104.0146725,953.667674375,389.505035,185.6235375,189.139495,109.2029375
2021-06-06,104.88768,909.708831875,373.5181075,177.9928325,126.5605775,117.02157
2021-06-07,104.7167075,1148.064101875,587.875905,181.418185,189.7336425,70.2026475
2021-06-08,103.37838500000001,1168.253569375,631.0864425,184.78436,228.1797,52.323335
2021-06-09,102.376435,1176.698459375,617.2754825,184.4594825,252.8973875,30.7448275
2021-06-10,102.519825,1174.91852,608.4790825,184.5175575,266.7242125,45.16879
2021-06-11,105.05869,1159.72261125,541.888835,164.2996875,280.6363225,111.37765999999999
2021-06-12,105.819545,996.79344,256.46121,150.11014749999998,208.9640775,474.98258
2021-06-13,107.030215,911.650595,246.837235,145.5044625,282.7833625,254.7095725
2021-06-14,106.326235,1153.116206875,469.8866875,151.8189575,320.7096475,137.108375
2021-06-15,106.5197625,1185.58817375,606.326175,156.2636425,280.64144,59.457432499999996
2021-06-16,102.7335375,1199.34158625,641.627335,154.75165,297.68467250000003,121.8944475
2021-06-17,94.1391175,1235.721140625,586.079545,151.823215,301.0990925,237.1737
2021-06-18,93.74948499999999,1216.1421325000001,609.8470425,153.6004925,286.55016,168.6388425
2021-06-19,95.743065,1036.352840625,443.4403675,152.146595,275.9218275,173.76121
2021-06-20,96.1838125,957.943994375,342.54026749999997,152.56248250000002,212.31965250000002,292.7916125
2021-06-21,97.4237125,1202.90924625,548.1187625,156.07025,238.1039925,299.0691275
2021-06-22,99.1339925,1200.0061475,649.4708825,158.405265,172.923135,169.090225
2021-06-23,99.165425,1166.4832362500001,699.03781,158.5477175,192.1890675,64.4209675
